Area_Code,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
7022571,168,9,0,0,0,0,0,0,171,0,171
7022572,135,15,0,3,0,3,3,0,147,0,147
7022573,144,15,3,3,0,3,3,0,153,0,153
7022574,171,9,0,3,0,0,0,0,183,0,183
7022575,165,27,3,3,0,0,0,0,180,0,180
7022576,198,21,0,6,0,3,3,0,207,0,207
7022577,135,6,3,0,0,3,3,0,144,0,144
7022578,171,12,3,0,0,3,3,0,174,0,174
7022579,135,30,12,3,0,0,0,0,171,0,171
7022580,162,21,0,3,0,0,0,0,174,0,174
7022581,153,3,12,3,0,6,3,0,174,0,174
7022582,150,12,0,3,0,0,0,0,156,0,156
7022583,156,15,21,3,0,0,0,0,180,0,180
7022584,126,18,3,3,3,3,3,0,153,0,153
7022585,174,33,6,9,6,3,3,0,207,0,207
7022586,114,18,6,0,0,3,3,0,120,0,120
7022587,138,6,0,0,6,0,0,0,141,0,141
7022588,120,15,0,6,0,0,0,0,126,0,126
7022589,156,21,18,3,0,6,6,0,183,0,183
7022590,126,9,0,0,0,3,3,0,129,0,129
7022591,153,21,3,12,0,3,3,0,177,0,177
7022592,138,18,6,9,0,0,0,0,153,0,153
7022593,120,33,3,18,0,3,0,3,153,0,153
7022594,78,12,3,0,0,3,3,0,87,0,87
7022595,216,33,0,42,3,6,6,0,279,0,279
7022596,147,30,0,3,0,3,3,0,165,0,165
7022597,192,69,6,9,0,3,3,0,243,0,243
7022598,84,30,3,6,0,12,12,0,108,0,108
